countryCode|currencyCode|population|capital|continent|areaInSqKm|languages|geonameId
TD|XAF|10543464|N'Djamena|AF|1284000|fr-TD,ar-TD,sre|2434508
TF|EUR|140|Port-aux-Français|AN|7829|fr|1546748
TG|XOF|6587239|Lomé|AF|56785|fr-TG,ee,hna,kbp,dag,ha|2363686
TH|THB|67089500|Bangkok|AS|514000|th,en|1605651
TJ|TJS|7487489|Dushanbe|AS|143100|tg,ru|1220409
TK|NZD|1466||OC|10|tkl,en-TK|4031074
TL|USD|1154625|Dili|OC|15007|tet,pt-TL,id,en|1966436
TM|TMT|4940916|Ashgabat|AS|488100|tk,ru,uz|1218197
TN|TND|10589025|Tunis|AF|163610|ar-TN,fr|2464461
TO|TOP|122580|Nuku'alofa|OC|748|to,en-TO|4032283
TR|TRY|77804122|Ankara|AS|780580|tr-TR,ku,diq,az,av|298795
TT|TTD|1228691|Port of Spain|NA|5128|en-TT,hns,fr,es,zh|3573591
TV|AUD|10472|Funafuti|OC|26|tvl,en,sm,gil|2110297
TW|TWD|22894384|Taipei|AS|35980|zh-TW,zh,nan,hak|1668284
TZ|TZS|41892895|Dodoma|AF|945087|sw-TZ,en,ar|149590
UA|UAH|45415596|Kyiv|EU|603700|uk,ru-UA,rom,pl,hu|690791
UG|UGX|33398682|Kampala|AF|236040|en-UG,lg,sw,ar|226074
UM|USD|0||OC|0|en-UM|5854968
US|USD|310232863|Washington|NA|9629091|en-US,es-US,haw,fr|6252001
UY|UYU|3477000|Montevideo|SA|176220|es-UY|3439705
UZ|UZS|27865738|Tashkent|AS|447400|uz,ru,tg|1512440
VA|EUR|921|Vatican|EU|0.44|la,it,fr|3164670
VC|XCD|104217|Kingstown|NA|389|en-VC,fr|3577815
VE|VEF|27223228|Caracas|SA|912050|es-VE|3625428
VG|USD|21730|Road Town|NA|153|en-VG|3577718
VI|USD|108708|Charlotte Amalie|NA|352|en-VI|4796775
VN|VND|89571130|Hanoi|AS|329560|vi,en,fr,zh,km|1562822
VU|VUV|221552|Port Vila|OC|12200|bi,en-VU,fr-VU|2134431
WF|XPF|16025|Mata-Utu|OC|274|wls,fud,fr-WF|4034749
WS|WST|192001|Apia|OC|2944|sm,en-WS|4034894
XK|EUR|1800000|Pristina|EU|10908|sq,sr|831053
YE|YER|23495361|Sanaa|AS|527970|ar-YE|69543
YT|EUR|159042|Mamoutzou|AF|374|fr-YT|1024031
ZA|ZAR|49000000|Pretoria|AF|1219912|zu,xh,af,nso,en-ZA,tn,st,ts,ss,ve,nr|953987
ZM|ZMW|13460305|Lusaka|AF|752614|en-ZM,bem,loz,lun,lue,ny,toi|895949
ZW|ZWL|11651858|Harare|AF|390580|en-ZW,sn,nr,nd|878675
